Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,total_onboard,serious_fatal_fraction,Destroyed,Make_Model
20080129X00119,Accident,DFW08FA056,2008-01-17,"Tulsa, OK",United States,Fatal,Substantial,Airplane,Aero Commander,500B,No,2,Reciprocating,135,Unknown,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,1.0,0,Aero Commander 500B
20080220X00218,Accident,DEN08CA051,2008-01-17,"Taos, NM",United States,Non-Fatal,Substantial,Airplane,Piper,PA-32-301XTC,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,4.0,VMC,Unknown,4.0,0.0,0,Piper PA-32-301XTC
20080229X00249,Accident,MIA08WA063,2008-01-17,"Valencia, Spain",Spain,Non-Fatal,Substantial,Airplane,Cessna,A188B,No,Unknown,Unknown,NUSN,Aerial Application,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna A188B
20080128X00111,Accident,DFW08FA057,2008-01-18,"San Antonio, TX",United States,Fatal,Destroyed,Airplane,Piper,PA46-500TP,No,1,Turbo Prop,091,Personal,1.0,0.0,0.0,0.0,IMC,Unknown,1.0,1.0,1,Piper PA46-500TP
20080122X00086,Accident,DCA08WA031,2008-01-19,"Huambo, Angola",Angola,Fatal,Destroyed,Airplane,Beech,200,No,Unknown,Unknown,NUSC,Unknown,13.0,0.0,0.0,0.0,IMC,Unknown,13.0,1.0,1,Beech 200
20080130X00124,Accident,LAX08FA049,2008-01-20,"Corona, CA",United States,Fatal,Destroyed,Airplane,Cessna,172N,No,1,Reciprocating,091,Personal,4.0,0.0,0.0,0.0,VMC,Unknown,4.0,1.0,1,Cessna 172N
20080131X00125,Accident,MIA08LA043,2008-01-20,"Kissimmee, FL",United States,Non-Fatal,Substantial,Airplane,Cessna,U206F,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,3.0,VMC,Unknown,3.0,0.0,0,Cessna U206F
20080225X00233,Accident,LAX08CA051,2008-01-20,"Brigham City, UT",United States,Non-Fatal,Substantial,Airplane,Luscombe,8E,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Luscombe 8E
20080603X00773,Accident,MIA08WA103,2008-01-20,"Perugia, Italy",Italy,Fatal,Substantial,Airplane,Cessna,177B,No,Unknown,Unknown,NUSN,Instructional,2.0,0.0,0.0,0.0,IMC,Unknown,2.0,1.0,0,Cessna 177B
20080307X00284,Accident,CHI08CA069,2008-01-22,"South St. Paul, MN",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna 172N
20080207X00144,Accident,DEN08WA052,2008-01-23,"Cherbourg, France",France,Fatal,Substantial,Airplane,Beech,58P,No,Unknown,Unknown,NUSN,Personal,2.0,0.0,1.0,0.0,VMC,Unknown,3.0,0.6666666666666666,0,Beech 58P
20080220X00220,Accident,CHI08LA070,2008-01-23,"Cahokia, IL",United States,Non-Fatal,Substantial,Airplane,Beech,58,No,2,Reciprocating,091,Other,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Beech 58
20080210X00161,Accident,NYC08LA086,2008-01-25,"York, SC",United States,Non-Fatal,Substantial,Airplane,Piper,PA-28-R200,No,1,Reciprocating,091,Personal,0.0,2.0,0.0,0.0,VMC,Unknown,2.0,1.0,0,Piper PA-28-R200
20080229X00248,Accident,LAX08CA053,2008-01-25,"Beaver Marsh, OR",United States,Non-Fatal,Substantial,Airplane,Cessna,172N,No,1,Reciprocating,091,Personal,0.0,1.0,0.0,2.0,VMC,Unknown,3.0,0.3333333333333333,0,Cessna 172N
20080304X00258,Accident,MIA08CA068,2008-01-26,"Westiminster, MD",United States,Non-Fatal,Substantial,Airplane,Cessna,172S,No,1,Reciprocating,091,Instructional,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Cessna 172S
20080317X00317,Accident,DFW08CA059,2008-01-27,"Sheffield, TX",United States,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,No,1,Reciprocating,091,Other,0.0,0.0,1.0,0.0,VMC,Unknown,1.0,0.0,0,Piper PA-18-150
20080205X00136,Accident,DFW08LA058,2008-01-28,"Wiggins, MS",United States,Non-Fatal,Substantial,Airplane,Piper,PA32-301FT,No,1,Reciprocating,091,Personal,0.0,0.0,0.0,1.0,VMC,Unknown,1.0,0.0,0,Piper PA32-301FT
